objectid,filename,title,photographer,datetaken,description,subject,locationtaken,latitude,longitude,relation,lccn,lccnurl,format,filesize,originalformat,image_alt_text,rights,rightsstatement,venue,citystate,streetaddress
coll001,sv01.jpg,"[Portrait of Sarah Vaughan, Café Society (Downtown)(?), New York, N.Y., ca. Aug. 1946]","Gottlieb, William P.",1946,A portrait taken by William P. Gottlieb of jazz singer and pianist Sarah Vaughan singing at the Café Society in New York City in August 1946.,"Vaughan, Sarah, 1924-1990;Portrait Photographs--1940-1950;Women Jazz Musicians--1940-1950;Café Society (Nightclub)","Café Society, New York, N.Y.",40.7331,-74.0021,,2023868362,https://www.loc.gov/item/2023868362/,image/jpeg,510x661px,"Negative, black & white, 3 1/4 x 4 1/4 in.","Black-and-white image of a young Black woman, Vaughan, singing into a vintage microphone. She stands in profile with her eyes closed and mouth open mid-note. Her short, styled hair is swept upward, and the dark background draws attention to her face and the polished metal microphone. She wears a light-colored dress and a necklace.",Public domain,https://creativecommons.org/publicdomain/mark/1.0/,Café Society,"New York, N.Y.","Sheridan Square, Manhattan"
coll002,ef02.jpg,"[Portrait of Ella Fitzgerald, Dizzy Gillespie, Ray Brown, Milt (Milton) Jackson, and Timmie Rosenkrantz, Downbeat, New York, N.Y., ca. Sept. 1947]","Gottlieb, William P.",1947,"A portrait taken by William P. Gottlieb of jazz singer Ella Fitzgerald singing in New York City in September 1947 with a crowd of enamored onlookers including Dizzy Gillespie, Ray Brown, Milton Jackson, and Timmie Rosenkrantz. Image also appears in Gottlieb’s newspaper, Downbeat, v. 14, no. 20, p. 5 in the article “Ella keeps it on the beat"" (see relation).","Fitzgerald, Ella;Portrait Photographs--1940-1950;Women Jazz Musicians--1940-1950;Jazz Musicians--1930-1950;Downbeat Club, New York, N.Y.","Downbeat Club, New York, N.Y.",40.7605,-73.9784,https://www.loc.gov/item/2023868683/,2023867704,https://www.loc.gov/item/2023867704/,image/jpeg,686x711px,"Negative, black & white, 2 1/4 x 2 1/4 in.","Black-and-white image of a Black woman, Fitzgerald, singing into a vintage microphone. She appears in the foreground with her eyes closed and mouth open mid-note with her right hand gripping the microphone. A young man in the background, Gillespie, listens intently as she performs. She wears a dark dress with a patterned collar, and her pinned-up hair is mostly hidden under a feathery hat. Further in the background are the men in the band accompanying her.",Public domain,https://creativecommons.org/publicdomain/mark/1.0/,Downbeat Club,"New York, N.Y.","52nd Street, Manhattan"
coll003,nl03.jpg,"[Portrait of Nellie Lutcher, New York, N.Y., between 1946 and 1948]","Gottlieb, William P.",1946;1947;1948,A portrait taken by William P. Gottlieb of jazz singer and pianist Nellie Lutcher singing and playing in New York City sometime during 1946-1948.,"Lutcher,Nellie;Portrait Photographs--1940-1950;Women Jazz Musicians--1940-1950","New York, N.Y.",40.7128,-74.0060,,2023868017,https://www.loc.gov/item/2023868017/,image/jpeg,704x713px,"Negative, black & white, 2 1/4 x 2 1/4 in.","Black-and-white image of a Black woman, Lutcher, singing into a vintage microphone that is slightly obscured by the piano she stands at. She looks out beyond the piano, her right hand playing and her mouth pursed mid-note. She wears a dark, sleeveless dress with a ruffled collar and a pearl necklace. Her braided hair is styled in a bun on top of her head. Audience members are visible in the background, out of focus.",Public domain,https://creativecommons.org/publicdomain/mark/1.0/,,"New York, N.Y.",
coll004,jp04.jpg,"[Portrait of Josephine Premice, Village Vanguard, New York, N.Y., ca. July 1947]","Gottlieb, William P.",1947,A portrait of jazz singer Josephine Premice performing a song at the Village Vanguard in July 1947 accompanied by a jazz percussionist.,"Premice, Josephine;Portrait Photographs--1940-1950;Women Jazz Musicians--1940-1950;Jazz Musicians--1930-1950; Percussionists--1940-1950;Village Vanguard (Nightclub)","Village Vanguard, New York, N.Y.",40.7359,-74.0016,,2023868994,https://www.loc.gov/item/2023868994/,image/jpeg,685x684px,"Negative, black & white, 2 1/4 x 2 1/4 in.","Black-and-white image of a young Black woman, Premice, singing into a vintage microphone. Her mouth is open mid-note and her eyes are cast playfully upwards toward the ceiling. She holds her hands near her hips. She wears a white dress with diagonal black stripes that slips off one shoulder, and her hair is pinned on top of her head in medium-sized curls. In the right foreground of the photograph sits a Black percussionist wearing a straw hat tapping a beat on a hand drum with his eyes closed.",Public domain,https://creativecommons.org/publicdomain/mark/1.0/,Village Vanguard,"New York, N.Y.","7th Avenue, Manhattan"
coll005,gg05.jpg,"[Portrait of Machito and Graciella Grillo, Glen Island Casino, New York, N.Y., ca. July 1947]","Gottlieb, William P.",1947,"A portrait of Cuban jazz singer known professionally as Graciela performing with her brother Frank ""Machito"" Grillo at Glen Island Casino in New York in 1947.","Grillo, Graciella;Portrait Photographs--1940-1950;Women Jazz Musicians--1940-1950;Jazz Musicians--1930-1950;Percussionists--1940-1950;Latin Jazz--1940-1950;Glen Island Casino","Glen Island Casino, New Rochelle, N.Y.",40.8852,-73.7838,,2023868889,https://www.loc.gov/item/2023868889/,image/jpeg,496x661px,"Negative, black &white, 3 1/4 x 4 1/4 in.","Black-and-white image of a Cuban woman, Graciella, smiling as she sings into a vintage microphone. She holds claves in her hands and looks out past the camera into the audience. She wears a light, short-sleeved blouse, a white belt, light bottoms, and lipstick. Her hair is pinned on top of her head. Her brother Machito stands behind her playing a set of maracas.",Public domain,https://creativecommons.org/publicdomain/mark/1.0/,Glen Island Casino,"New Rochelle, N.Y.","Glen Island, Westchester County"
coll006,ms06.jpg,"[Portrait of Maxine Sullivan, Village Vanguard, New York, N.Y., ca. Mar. 1947]","Gottlieb, William P.",1947,"A portrait of jazz vocalist Maxine Sullivan performing at the Village Vanguard nightclub in New York City in 1947. Image also appears in Gottlieb’s newspaper, Down Beat, v. 14, no. 6 (Mar. 12, 1947), p. 1. in the article “Fringe spots jump; vocals, shows click"" (see relation).","Sullivan, Maxine, 1911;Portrait Photographs--1940-1950;Women Jazz Musicians--1940-1950;Jazz Musicians--1930-1950;Double Bassists--1940-1950;Village Vanguard (Nightclub)","Village Vanguard, New York, N.Y.",40.7359,-74.0016,https://www.worldradiohistory.com/Archive-All-Music/DownBeat/40s/47/Down-Beat-1947-03-12-14-6.pdf,2023868300,https://www.loc.gov/item/2023868300/,image/jpeg,697x697px,"Negative, black & white, 2 1/4 x 2 1/4 in.","Black-and-white image of a Black woman, Sullivan, singing into a vintage microphone. Her eyes are closed and her mouth is open mid-note. She wears a textured short-sleeved blouse with puffed sleeves and a matching skirt. Her hair is pinned on top of her head. Visible behind her is a grand piano with the lid raised, an upright bassist accompanying her singing, and a white man sitting listening in front of a large piece of art depicting a forest of bare trees.",Public domain,https://creativecommons.org/publicdomain/mark/1.0/,Village Vanguard,"New York, N.Y.","7th Avenue, Manhattan"
coll007,rl07.jpg,"[Portrait of Carmen Lombardo, Rose Marie Lombardo, Guy Lombardo, and Don Rodney, Starlight Roof, Waldorf-Astoria, New York, N.Y., ca. July 1947]","Gottlieb, William P.",1947,"A portrait of vocalist Rose Marie Lombardo on stage at the Starlight Roof at Waldorf-Astoria Hotel in New York City in 1947 listening to vocalist Don Rodney perform. Also on stage are her brothers Carmen (standing to the left of Rose Marie) and Guy (sitting to the right of Rose Marie). Image also appears in Gottlieb's newspaper Down Beat, v. 14, no. 16 (July 30, 1947), p. 5 in the article ""A better Lombardo band is no longer ""corney""--obnoxious stuff gone"" (see relation).","Lombardo, Rose Marie;Portrait Photographs--1940-1950;Women Jazz Musicians--1940-1950;Jazz Musicians--1930-1950;Italian-Americans--1940-1950;Immigrants--United States--History--20th century;Starlight Roof, Waldor-Astoria Hotel, New York, N.Y.","Starlight Roof, Waldorf-Astoria Hotel, New York, N.Y.",40.7563,-73.9741,https://www.loc.gov/item/2023869117/,2023868013,https://www.loc.gov/item/2023868013/,image/jpeg,989x1016px,"Negative, black & white, 2 1/4 x 2 1/4 in.","Black-and-white image of an Italian-American woman, Lombardo, sitting on stage as another vocalist Don Rodney sings into a vintage microphone. She is smiling slightly as her eyes look past the camera. She sits slightly hunched as if she is shifting in her seat and holds her hands in her lap. She wears a dark, glossy dress with puffed sleeves that buttons in the front and ends at her knees. Her hair is pinned up under a large hat. Her brother Carmen, dressed in a dark pinstripe suit, walks away from her in the background. Her brother Guy, dressed in a light striped suit, sits next to her, slightly turned away.",Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Starlight Roof, Waldorf-Astoria Hotel","New York, N.Y.","Park Avenue, Manhattan"
coll008,hw08.jpg,"[Portrait of Henry Wells, New York, N.Y., ca. Nov. 1946]","Gottlieb, William P.",1946,"An image of two unnamed female jazz musicians, a vocalist and an upright bassist, practice with bandleader and trombonist Henry Wells and two other band members in 1946 in New York City.",Women Jazz Musicians--1940-1950;Jazz Musicians--1930-1950;Double Bassists--1940-1950;Trombonists--1940-1950;Pianists--1940-1950,"New York, N.Y.",40.7128,-74.0060,,2023868385,https://www.loc.gov/item/2023868385/,image/jpeg,498x653px,"Negative, black & white, 3 1/4 x 4 1/4 in.","Black-and-white image featuring two Black women, unnamed, crowding around a piece of sheet music held by Henry Wells. One of the women leans her upright bass against her shoulder and leans toward the other woman to look over her shoulder at the music. The other woman stands next to Wells. Her lower half is obscured by the other woman's bass, but she does not appear to be holding anything. Both women are smiling. Wells, also smiling, holds the sheet music up for the group to see with one hand and holds his trombone in the other. Behind the two women and Wells is a Black musician also looking at the music smiling. To the side sits a Black pianist accompanying them.",Public domain,https://creativecommons.org/publicdomain/mark/1.0/,,"New York, N.Y.",
coll009,mw09.jpg,"[Portrait of Mary Lou Williams, CBS studio, New York, N.Y., ca. Apr. 1947]","Gottlieb, William P.",1947,"A portrait of pianist and composer Mary Lou Williams at a piano in the CBS Studio in New York City in 1947. Image also appears in the magazine The Record Changer, v. 6, no. 2 (Apr. 47, 1947), p. 6 (see relation).","Williams, Mary Lou, 1910-1981;Portrait Photographs--1940-1950;Women Jazz Musicians--1940-1950;CBS studio","CBS Studio, New York, N.Y.",40.7697,-73.9906,https://www.loc.gov/item/2003223732/resource/gdcmassbookdig.recordchanger06unse-1947-04,2023868408,https://www.loc.gov/item/2023868408/,image/jpeg,687x713px,"Negative, black & white, 2 1/4 x 2 1/4 in.","Black-and-white image of a Black woman, Williams, sitting at a piano with her right hand poised on the keys. She is turned slightly away from the piano to smile down into the camera. She wears a dark pantsuit with a white shirt and her hair falls to chin-length in loose curls.",Public domain,https://creativecommons.org/publicdomain/mark/1.0/,CBS Studio,"New York, N.Y.","57th Street, Manhattan"
coll010,bh10.jpg,"[Portrait of Billie Holiday, Downbeat, New York, N.Y., ca. Feb. 1947]","Gottlieb, William P.",1947,"A portrait of vocalist Billie Holiday singing at the nightclub Downbeat. Image also appears in the magazine The Record Changer, v. 5, no. 12 (Feb. 47, 1947), p. 7 (see relation).","Holiday, Billie, 1915-1959;Portrait Photographs--1940-1950;Women Jazz Musicians--1940-1950;Downbeat Club (New York, N.Y.)","Downbeat Club, New York, N.Y.",40.7605,-73.9784,https://www.loc.gov/item/2003223732/resource/gdcmassbookdig.recordchanger05unse-1947-02,2023867855,https://www.loc.gov/item/2023867855/,image/jpeg,511x635px,"Negative, black & white, 4 x 5 in.","Black-and-white close-up image of a Black woman, Holiday, in profile from the shoulders up. She sings with her head tilted back and her mouth open wide mid-note. She wears bright lipstick, and her hair is pinned up.",Public domain,https://creativecommons.org/publicdomain/mark/1.0/,Downbeat Club,"New York, N.Y.","52nd Street, Manhattan"
coll011,ew11.jpg,"[Portrait of Ethel Waters, New York, N.Y.(?), between 1938 and 1948]","Gottlieb, William P.",1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948,"A portrait of actress and jazz singer Ethel Waters reclining against a wall, smiling.","Waters, Ethel, 1896-1977; Portrait Photographs--1930-1940;Women Jazz Musicians--1930-1940;Portrait Photographs--1940-1950;Women Jazz Musicians--1940-1950","New York, N.Y.",40.7128,-74.006,https://www.loc.gov/resource/music.musgottlieb-08911-002/,2023868372,https://www.loc.gov/item/2023868372/,image/jpeg,693x710px,"Negative, black &white, 2 1/4 x 2 1/4 in.","Black-and-white portrait of a Black woman, Waters, standing indoors with her back leaning against a dilapidated wooden wall. She looks off-camera with a smile that shows her teeth. She wears a dark dress with sleeves covering down to her forearms and a handkerchief tucked into the chest pocket. Across from where she leans appears to be a suit jacket or coat hanging on a rod and an additional metal clothes hanger.",Public domain,https://creativecommons.org/publicdomain/mark/1.0/,,"New York, N.Y.",
coll012,bch12.jpg,"[Portrait of Bertha Chippie Hill, New York, N.Y., between 1946 and 1948]","Gottlieb, William P.",1946;1947;1948,A portrait of jazz vocalist and dancer Bertha Chippie Hill singing in New York City sometime between 1946 and 1948.,"Hill, Bertha Chippie;Portrait Photographs--1940-1950;Women Jazz Musicians--1940-1950;Jazz Musicians--1930-1950;Double Bassists--1940-1950","New York, N.Y.",40.7128,-74.006,https://www.loc.gov/resource/music.musgottlieb-04131-002/,2023867846,https://www.loc.gov/item/2023867846/,image/jpeg,685x710px,"Negative, black & white, 2 1/4 x 2 1/4 in.","Black-and-white image of a Black woman, Hill, singing. Her face is tilted slightly downward and toward the camera, one eye closed, one eye cracked open looking down the camera, and mouth open mid-note. She wears a short-sleeved dark dress with a shiny embroidered collar and matching belt. Visible in the background is an upright bassist smiling as he accompanies Hill.",Public domain,https://creativecommons.org/publicdomain/mark/1.0/,,"New York, N.Y.",
coll013,lh13.jpg,"[Portrait of Lena Horne and Lennie Hayton, New York, N.Y., between 1946 and 1948]","Gottlieb, William P.",1946;1947;1948,A portrait of jazz vocalist and actress Lena Horne singing with a conductor (her husband Lennie Hayton) and band in New York City sometime between 1946 and 1948.,"Horne, Lena;Portrait Photographs--1940-1950;Women Jazz Musicians--1940-1950;Jazz Musicians--1930-1950;Conductors (Music)--1940-1950","New York, N.Y.",40.7128,-74.006,,2023868744,https://www.loc.gov/item/2023868744/,image/jpeg,691x738px,"Negative, black & white, 2 1/4 x 2 1/4 in.","Black-and-white image of a Black woman, Horne, singing. She stands on one side of a large table strewn with sheet music, her head tilted back and mouth open mid-note. Across the table a white man, conductor Lennie Hayton, stands with his arms raised in motion as he conducts her in singing. Slightly out of focus behind them is a band of musicians.",Public domain,https://creativecommons.org/publicdomain/mark/1.0/,,"New York, N.Y.",
coll014,om14.jpg,"[Portrait of Gene Sedric, Cliff Jackson, Olivette Miller, and Josh White, Café Society (Downtown), New York, N.Y., ca. Mar. 1947]","Gottlieb, William P.",1947,"A portrait of harpist Olivette Miller playing with jazz musicians Gene Sedric, Cliff Jackson, and Josh White at the Café Society in New York City in 1947. Image also appears in the newspaper Down Beat, v. 14, no. 6 (Mar. 12, 1947), p. 1 in the article ""Fringe spots jump; vocals, shows click"" (see relation).","Miller, Olivette;Portrait Photographs--1940-1950;Women Jazz Musicians--1940-1950;Jazz Musicians--1930-1950;Harpists--1940-1950;Guitarists--1940-1950; Saxophonists--1940-1950;Café Society (Downtown)","Café Society, New York, N.Y.",40.7331,-74.0021,https://www.worldradiohistory.com/Archive-All-Music/DownBeat/40s/47/Down-Beat-1947-03-12-14-6.pdf,2023869116,https://www.loc.gov/item/2023869116/,image/jpeg,679x696px,"Negative, black & white, 2 1/4 x 2 1/4 in.","Black-and-white image featuring a Black woman, Miller, playing the harp with a group of four other Black musicians. She sits in the furthest corner of the frame, plucking notes on the harp and staring directly up into the camera. Around Miller, saxophonist Gene Sedric, stride pianist Cliff Jackson, and guitarist Josh White also play.",Public domain,https://creativecommons.org/publicdomain/mark/1.0/,Café Society,"New York, N.Y.","Sheridan Square, Manhattan"
coll015,ns15.jpg,"[Portrait of Norma Sheppard, between 1938 and 1948]","Gottlieb, William P.",1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948,A portrait of jazz vocalist Norma Sheppard singing and playing the piano sometime between 1938 and 1948.,"Sheppard, Norma; Portrait Photographs--1930-1940;Women Jazz Musicians--1930-1940;Portrait Photographs--1940-1950;Women Jazz Musicians--1940-1950",,,,,2023869042,https://www.loc.gov/item/2023869042/,image/jpeg,652x699px,"Negative, black & white, 2 1/4 x 2 1/4 in.","Black-and-white image featuring a Black woman, Sheppard, in profile sitting with her on the keys of a piano and a vintage microphone in front of her. She looks out beyond the piano smiling. She wears a dark dress with a mess collar and lace bodice. Her hair is pinned atop her head.",Public domain,https://creativecommons.org/publicdomain/mark/1.0/,,,